epoch,train_loss,seed,validation_dice,validation_iou,teacher_loss_weight,dice_weight,boundary_loss_weight,learning_rate
1,0.34003,6,0.781121,0.674216,0.5,1.0,0.2,0.0001
2,0.29925,6,0.787337,0.686634,0.5,1.0,0.2,0.0001
3,0.285841,6,0.778633,0.674624,0.5,1.0,0.2,0.0001
4,0.282555,6,0.780265,0.676863,0.5,1.0,0.2,0.0001
5,0.271657,6,0.783982,0.681031,0.5,1.0,0.2,0.0001
6,0.271453,6,0.77979,0.674997,0.5,1.0,0.2,0.0001
7,0.265149,6,0.782645,0.677488,0.5,1.0,0.2,0.0001
8,0.255065,6,0.77674,0.669899,0.5,1.0,0.2,0.0001
9,0.249074,6,0.779239,0.671399,0.5,1.0,0.2,0.0001
10,0.253919,6,0.775958,0.668453,0.5,1.0,0.2,0.0001
